
 Lista de Imóveis da Caixa;;Data de geração:;22/04/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444407284071 ;GO ;ABADIANIA ;Lindo Horizonte ;AVENIDA GETULIO VARGAS, QD 07 LT 02 ;143.175,87;288.485,57;50.37;Casa, 0.00 de área total, 151.65 de área privativa, 450.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407284071
 8444419360540 ;GO ;ABADIANIA ;CENTRO ; RUA LB2-04, N. SN, QUADRA 07, LOTE 12-B ;140.000,00;135.000,00;0.00;Casa, 0.00 de área total, 70.40 de área privativa, 137.31 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419360540
 8444413981631 ;GO ;AGUA LIMPA ;SETOR CENTRAL ;RUA ANTONIO ALVES AMORIM, N. 98, LT 05A07 QD 12 ;63.821,25;130.000,00;50.91;Casa, 69.92 de área total, 69.92 de área privativa, 225.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413981631
 1444415990516 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DO ENTORNO I ;Q QUADRA 2, N. S/N, LT34, RUA 02 ;46.855,23;123.000,00;61.91;Casa, 50.43 de área total, 50.43 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415990516
 8444416488332 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 07 ;QD-56 LT-37, N. s/n, RUA 25 ;37.980,97;95.000,00;60.03;Casa, 0.00 de área total, 57.02 de área privativa, 127.50 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416488332
 1444417052394 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES ITAMARACA ;QUADRA QG 6, N. SN, LT 10, RUA 25A ;53.708,16;130.000,00;58.69;Casa, 0.00 de área total, 55.22 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417052394
 8444401416861 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA I ;QUADRA 18, N. SN, LT 8A-2, RUA 20 ;43.059,97;103.910,00;58.57;Casa, 50.66 de área total, 50.66 de área privativa, 205.80 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401416861
 8444403795509 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 07 ;QUADRA 61, N. SN, LT 14 MOD F DO LT 01/06 ;49.901,09;120.000,00;58.42;Casa, 0.00 de área total, 63.26 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403795509
 8787706228026 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. S/N, Apto 202, QD 72 LT 06 RUA 18 ;51.980,31;125.000,00;58.42;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706228026
 8444425097723 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, N. SN, Apto 06, LT 16B ;48.653,56;117.000,00;58.42;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425097723
 8444407199382 ;GO ;AGUAS LINDAS DE GOIAS ;AGUAS LINDAS DE GOIA ;RUA M4, N. S/N, QD 08, LT 06 ;47.856,55;115.000,00;58.39;Casa, 55.22 de área total, 55.22 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407199382
 8787703011166 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;RUA 18, Apto 202, QD 72, LT 08 ;49.456,74;118.000,00;58.09;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703011166
 8444401222315 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 12 ;Q 84 CONJUNTO A, N. SN, CS3A21, LT03 ;56.791,05;135.000,00;57.94;Casa, 0.00 de área total, 58.26 de área privativa, 150.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401222315
 8444422197638 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA III ;QUADRA 23, N. SN, Apto 202, QUADRA 23, LOTE 27 ;55.108,36;131.000,00;57.94;Apartamento, 88.37 de área total, 59.64 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422197638
 8444411877187 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;RUA PAU BRASIL, N. SN, Apto 202, QD 04 LT 12-D BL B ;54.687,68;130.000,00;57.94;Apartamento, 0.00 de área total, 52.97 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411877187
 8444418573558 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;RUA SUCUPIRA, N. S/N, Apto 202, RES MANFRINATO V  LT 16 QD 32 AP 202 ;57.716,53;137.200,00;57.94;Apartamento, 0.00 de área total, 55.11 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418573558
 8444420366300 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO DESCOBERTO ;QUADRA 48, N. S/N, Apto 201, RUA 32, CJ C ;54.687,68;130.000,00;57.94;Apartamento, 0.00 de área total, 50.65 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420366300
 8444413935460 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM IV ;QD 31 LT 12, Apto 101 ;63.843,96;150.000,00;57.44;Apartamento, 0.00 de área total, 46.04 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413935460
 8444417093030 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, Apto 202, LT 5 QD 72 RUA 18 ;60.864,57;143.000,00;57.44;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417093030
